ID,Phase,Pixel count,Area,Perimeter,Equivalent circle diameter,Maximum Feret diameter,Centroid X,Centroid Y,Major diameter of fitted ellipse,Minor diameter of fitted ellipse,Aspect ratio of fitted ellipse,Mean band contrast,Mean band slope,Mean MAD,Mean Euler orientation 1,Mean Euler orientation 2,Mean Euler orientation 3
,,pix,µm²,µm,µm,µm,µm,µm,µm,µm,,0..255,0..255,°,°,°,°
1,Iron bcc (old),45,2.81,6.42,1.89,2.5,0.79,0.63,2.04,1.75,1.17,109.29,224.62,0.18,330.52,27.64,38.57
2,Iron bcc (old),494,30.87,22.57,6.27,9.09,5.82,1.81,9.16,4.29,2.14,115.9,203.77,0.2,98.08,40.14,43.32
3,Iron bcc (old),9305,581.56,147.39,27.21,39.07,13.08,14.99,29.19,25.37,1.15,124.1,222.24,0.19,57.47,23.09,12.03
4,Iron bcc (old),215,13.44,16.62,4.14,6.49,20.14,1.09,6.39,2.68,2.39,119.99,215.73,0.19,274.51,33.59,50.2
5,Iron bcc (old),186,11.62,18.86,3.85,6.08,25.19,1.56,4.04,3.66,1.1,114.21,198.32,0.21,98.38,41.23,35.87
6,Iron bcc (old),1291,80.69,42.07,10.14,15.83,28.96,6.7,15.35,6.69,2.29,104.17,220.33,0.17,351.69,37.43,55.7
7,Iron bcc (old),1220,76.25,41.1,9.85,15.17,36.15,6.28,14.06,6.91,2.04,119.48,226.92,0.18,299.39,33.54,88.14
8,Iron bcc (old),522,32.62,38.41,6.45,17.5,43.7,1.18,12.58,3.3,3.81,118.97,212.89,0.19,35.99,24.35,60.84
9,Iron bcc (old),1267,79.19,41.34,10.04,16.65,58.68,4.23,13.65,7.38,1.85,117.28,213.02,0.2,177.02,23.93,62.28
10,Iron bcc (old),1946,121.62,72.72,12.44,25.74,72.54,7.16,18.26,8.48,2.15,123.1,235.47,0.15,96.4,17.46,31.41
11,Iron bcc (old),4794,299.63,104.16,19.53,27.84,84.92,10.06,22.85,16.69,1.37,114.32,224.46,0.19,130.01,18.1,36.69
12,Iron bcc (old),12,0.75,3.85,0.98,1.77,81.25,0.1,1.86,0.51,3.61,113.17,220.75,0.16,91.63,15.54,34.77
13,Iron bcc (old),301,18.81,21.23,4.89,10.75,90.32,1.19,9.22,2.6,3.55,114.46,208.85,0.2,231.73,12.06,20.11
14,Iron bcc (old),471,29.44,21.9,6.12,8.31,97.25,1.99,7.49,5,1.5,119.33,223.84,0.2,308.06,42.22,64.35
15,Iron bcc (old),691,43.19,27.84,7.42,16.21,110.61,2.79,11.03,4.98,2.21,113.46,211.56,0.17,235.35,41.28,14.96
16,Iron bcc (old),97,6.06,11.83,2.78,5.34,107.75,0.5,5.21,1.48,3.51,117.26,216.6,0.17,180.58,27.74,81.26
18,Iron bcc (old),2572,160.75,71.94,14.31,27.32,116.15,8.61,22.89,8.94,2.56,135.13,234.43,0.16,215.91,37.11,64.26
20,Iron bcc (old),22,1.38,5.27,1.32,2.3,122.32,0.19,2.44,0.72,3.41,112.55,183.32,0.23,235.83,46.24,19.22
22,Iron bcc (old),2618,163.62,59.46,14.43,20.88,52.11,11.24,19.28,10.81,1.78,109.71,213.96,0.17,87.84,41.79,55.97
24,Iron bcc (old),2990,186.88,84,15.43,25.3,102.08,11.89,21.74,10.94,1.99,122.22,228.37,0.19,327.93,33.51,36.24
26,Iron bcc (old),1132,70.75,43.88,9.49,16.12,43.09,9.69,11.97,7.53,1.59,118.23,202.07,0.19,13.35,45.12,57.07
28,Iron bcc (old),929,58.06,35.1,8.6,11.78,67.92,6.56,9.64,7.67,1.26,114.44,203.41,0.25,135.65,19.35,29.82
29,Iron bcc (old),73,4.56,8.65,2.41,4.19,16.31,2.43,3.9,1.49,2.62,111.74,177.22,0.31,96.28,41.09,34.6
30,Iron bcc (old),334,20.88,24.24,5.16,9.52,13.06,5.37,7.77,3.42,2.27,115.19,198.49,0.2,97.1,40.63,36.14
31,Iron bcc (old),297,18.56,17.47,4.86,7.06,43.72,5.7,6.64,3.56,1.86,117.91,219.51,0.19,298.83,33.53,88.76
35,Iron bcc (old),202,12.62,16.49,4.01,8.07,97.26,5.42,8.39,1.92,4.38,113.05,204.58,0.22,335.99,22.01,85.17
37,Iron bcc (old),183,11.44,15.04,3.82,6.37,55.49,7.24,5.87,2.48,2.37,127.43,200.15,0.21,197.03,49.78,56.11
42,Iron bcc (old),11,0.69,3.38,0.94,1.82,25.3,7.39,1.86,0.47,3.95,108.82,187.91,0.2,296.44,34.2,89.9
45,Iron bcc (old),378,23.62,18.83,5.48,6.64,32.75,10.72,6.48,4.64,1.4,125.26,225.56,0.15,131.22,23.07,22.23
46,Iron bcc (old),34,2.12,5.8,1.64,2.69,83.82,8.7,2.57,1.05,2.44,116.09,208.09,0.17,97.67,19.38,30.82
47,Iron bcc (old),562,35.12,25.86,6.69,10.57,108.47,12.94,10.82,4.13,2.62,113.28,206.06,0.21,194.03,18.43,69.65
48,Iron bcc (old),1058,66.12,34.9,9.18,13.83,119.12,14.15,13.04,6.46,2.02,117.88,233.79,0.19,232.24,37.97,0.37
49,Iron bcc (old),11,0.69,3.57,0.94,1.58,123.86,9.48,1.45,0.61,2.39,110,170.55,0.21,234.89,41.44,11.87
50,Iron bcc (old),1925,120.31,70.06,12.38,25.47,61.08,19.75,21.37,7.17,2.98,122,227.84,0.15,98.87,18.88,27.37
52,Iron bcc (old),71,4.44,12.08,2.38,5.62,117.72,11.75,3.95,1.43,2.76,104.56,179.59,0.18,236.65,39.98,13.04
54,Iron bcc (old),42,2.63,6.61,1.83,2.85,65,10.57,2.6,1.28,2.03,115.76,175.83,0.25,201.7,50.06,49.35
55,Iron bcc (old),4401,275.06,102.33,18.71,37.84,95.56,22.6,23.64,14.82,1.6,122.03,203.77,0.21,333.11,28.18,88.44
57,Iron bcc (old),1726,107.88,51.31,11.72,17.15,70.63,17.74,13.4,10.25,1.31,114.68,222.99,0.16,100.84,33.01,58.29
58,Iron bcc (old),299,18.69,21.06,4.88,7.15,38.2,14.46,6.64,3.58,1.85,116.96,201,0.23,36.67,23.21,60.74
60,Iron bcc (old),14,0.88,3.38,1.06,1.46,103.02,13.79,1.39,0.8,1.73,101.07,193.29,0.16,341.3,21.21,82.67
62,Iron bcc (old),42,2.63,6.61,1.83,2.3,30.18,14.38,2.21,1.51,1.46,106.76,180.02,0.17,14.14,44.15,61.29
63,Iron bcc (old),700,43.75,30.97,7.46,13.31,2.8,20.96,10.51,5.3,1.98,121.17,220.63,0.2,159.11,36.37,82.33
64,Iron bcc (old),365,22.81,19.67,5.39,7.46,31.56,16.09,7.44,3.91,1.9,123.84,227.8,0.15,293.12,43.26,67.42
66,Iron bcc (old),10,0.63,3.24,0.89,1.35,27.8,14.9,1.23,0.65,1.9,119.1,209.1,0.14,16.89,43.78,59.68
67,Iron bcc (old),6429,401.81,124.56,22.62,39.61,47.84,30.84,31.48,16.25,1.94,120.81,225.18,0.15,245.47,15.65,65.78
68,Iron bcc (old),1777,111.06,58.81,11.89,23.54,15.13,26.84,21.07,6.71,3.14,117.02,229.87,0.16,170.82,14.03,63.46
69,Iron bcc (old),642,40.12,35.24,7.15,12.61,43.03,20.32,10.26,4.98,2.06,115.34,215.79,0.18,268.69,27.76,20.25
70,Iron bcc (old),4250,265.62,87.29,18.39,32.42,118.73,32.3,28.27,11.96,2.36,116.22,213.31,0.2,301.85,36.4,26.08
71,Iron bcc (old),1411,88.19,51.8,10.6,23.49,111.15,22.39,18.08,6.21,2.91,113.67,203.73,0.22,194.73,19.43,69.2
74,Iron bcc (old),395,24.69,19.98,5.61,7.95,57.64,21.39,7.76,4.05,1.92,113.27,220.63,0.16,87.35,39.29,55.04
75,Iron bcc (old),8487,530.44,120.01,25.99,36.57,27.84,33.75,31.65,21.34,1.48,106.88,220.63,0.18,127.1,14.13,45.41
76,Iron bcc (old),1004,62.75,34.01,8.94,15.11,70.4,25.35,13.88,5.76,2.41,122.03,216.05,0.17,97.65,17.58,29.42
77,Iron bcc (old),22,1.38,4.99,1.32,2.57,66.19,19.91,2.5,0.7,3.58,104.14,189.32,0.19,299.69,39.24,33.07
78,Iron bcc (old),58,3.62,7.56,2.15,2.61,43.64,20.5,2.5,1.85,1.35,119.86,217.14,0.12,260.11,16.03,49
82,Iron bcc (old),12,0.75,3.04,0.98,1.25,81.75,21.88,1.14,0.84,1.37,95.42,183.25,0.14,252.41,24.74,32.27
83,Iron bcc (old),3239,202.44,75.38,16.05,23.05,86.18,32.28,19.49,13.23,1.47,121.03,217.6,0.18,70.18,28.47,46.69
85,Iron bcc (old),320,20,21.76,5.05,9.55,1.06,28,8.97,2.84,3.16,111.8,219.14,0.16,12.07,31.93,23.36
87,Iron bcc (old),166,10.38,13.7,3.63,4.56,63.63,25.44,4.14,3.19,1.3,117.45,228.81,0.18,189.75,13.26,18.24
89,Iron bcc (old),2663,166.44,69.63,14.56,21.25,72.95,33.71,16.57,12.79,1.3,118.65,209.86,0.21,179.17,25.03,58.43
92,Iron bcc (old),827,51.69,37.84,8.11,18.06,63.69,32.56,16.37,4.02,4.07,122.29,230.93,0.13,232.33,45.28,21.22
94,Iron bcc (old),973,60.81,37.66,8.8,15.28,111.17,33.94,12.34,6.27,1.97,119.84,226.9,0.16,241.58,43.53,60.57
96,Iron bcc (old),31,1.94,7.09,1.57,3.48,109.27,28.14,3.52,0.7,5.01,101.68,165.68,0.18,302.41,35.17,26.33
98,Iron bcc (old),1509,94.31,40.7,10.96,14.48,97.09,32.55,12.47,9.63,1.3,118.72,231.5,0.16,93.96,21.29,6.93
102,Iron bcc (old),47,2.94,7.28,1.93,3.2,15.91,30.21,2.76,1.36,2.03,113.72,191.6,0.2,113.71,32.29,32.45
103,Iron bcc (old),661,41.31,37.11,7.25,15.66,4.36,39.11,13.34,3.94,3.38,118.82,215.98,0.2,233.82,36.08,68.76
104,Iron bcc (old),2066,129.12,73.23,12.82,25.12,67.5,41.11,18.29,8.99,2.04,120.24,226.01,0.18,178.34,14.81,28.19
106,Iron bcc (old),182,11.38,15.2,3.81,6.64,0.96,35.7,6.75,2.15,3.14,113.27,171.23,0.31,50.49,27.71,31.53
113,Iron bcc (old),1580,98.75,45.54,11.21,18.52,57.25,42.61,16.4,7.67,2.14,120.3,201.69,0.21,51.88,20.85,9.34
114,Iron bcc (old),108,6.75,10.13,2.93,4.04,123.19,35.52,3.87,2.22,1.74,123.44,230.81,0.18,175.33,26.77,60.12
118,Iron bcc (old),524,32.75,23.27,6.46,7.65,8.32,38.46,6.93,6.02,1.15,118.32,221.58,0.19,124.77,34.92,40.02
119,Iron bcc (old),62,3.88,8.43,2.22,3.75,11.31,36.37,3,1.65,1.82,108.05,196.65,0.17,154.49,24.9,21.09
121,Iron bcc (old),793,49.56,29.63,7.94,13.7,99.76,39.45,14.14,4.46,3.17,113.3,213.99,0.19,276.15,35.73,26.71
123,Iron bcc (old),37,2.31,5.94,1.72,2.8,72.28,36.54,2.69,1.1,2.45,119.51,199.14,0.18,74.64,29.45,41.25
125,Iron bcc (old),3910,244.37,81.52,17.64,25.54,38.41,48.15,20.71,15.03,1.38,112.81,218.91,0.18,320.43,15.48,76.2
128,Iron bcc (old),1192,74.5,36.69,9.74,13.31,82.86,42.99,11.46,8.27,1.39,126.07,227.32,0.18,308.74,32.02,10.9
133,Iron bcc (old),32,2,5.8,1.6,2.69,99.24,37.55,2.62,0.97,2.71,116.03,188.06,0.17,336.49,29.2,89.1
134,Iron bcc (old),603,37.69,31.13,6.93,11.4,2.48,43.71,8.71,5.51,1.58,110.35,221.11,0.17,11.13,31.58,24.58
135,Iron bcc (old),76,4.75,8.51,2.46,3.58,95.86,38.02,3.19,1.9,1.68,103.76,201.46,0.16,348.26,27.22,63.3
138,Iron bcc (old),62,3.88,8.51,2.22,3.35,90.79,38.68,3.25,1.52,2.14,104.87,188.27,0.2,348.98,31.64,62.18
141,Iron bcc (old),693,43.31,27.54,7.43,10.85,12.84,43.32,10.2,5.41,1.89,117.33,212.3,0.17,154.37,25.63,20.83
143,Iron bcc (old),483,30.19,24.02,6.2,9.09,102.94,42.1,8.52,4.51,1.89,110.25,207.94,0.19,19.08,33.14,41.06
144,Iron bcc (old),117,7.31,10.8,3.05,4.51,110.01,40.32,4.23,2.2,1.92,105.31,223.29,0.18,5.14,32.09,70.67
153,Iron bcc (old),12,0.75,3.24,0.98,1.35,75.04,40.02,1.25,0.76,1.65,111.08,182.92,0.16,309.13,31.89,12.41
155,Iron bcc (old),89,5.56,9.24,2.66,3.26,108.09,41.78,3.13,2.27,1.38,107.19,212.72,0.14,212.18,26.69,29.95
157,Iron bcc (old),457,28.56,23.38,6.03,9.22,91.41,43.88,8.59,4.23,2.03,125.09,227.24,0.16,93.95,34.53,28.13
158,Iron bcc (old),1035,64.69,33.68,9.08,12.87,111.1,46.82,12.47,6.61,1.89,120.73,225.67,0.16,230.16,32.49,66.76
160,Iron bcc (old),1458,91.12,42.77,10.77,14.88,27.7,48.7,13.66,8.49,1.61,122.16,229.97,0.21,320.62,37.02,65.8
161,Iron bcc (old),21,1.31,4.38,1.29,1.68,42.77,42.57,1.52,1.1,1.38,94.29,167.48,0.31,123.2,13.68,47.71
162,Iron bcc (old),1900,118.75,60,12.3,25.32,97.49,47.21,22.27,6.79,3.28,119.27,212.36,0.19,229.59,33.68,67.21
164,Iron bcc (old),32,2,5.33,1.6,2.3,121.95,43.59,2.18,1.17,1.86,113.31,218.03,0.18,122.08,32.8,1.02
165,Iron bcc (old),47,2.94,8.03,1.93,3.26,78.35,43.44,2.64,1.42,1.87,106.38,165.57,0.28,99.2,31.16,43.93
166,Iron bcc (old),45,2.81,11.41,1.89,5.4,107.89,45.19,4.97,0.72,6.89,104.53,175.73,0.21,305.6,37.83,23.16
167,Iron bcc (old),1701,106.31,54.82,11.63,19.08,76.64,52.09,14.99,9.03,1.66,122.93,216.89,0.18,206.96,43.92,59.25
170,Iron bcc (old),686,42.88,28.71,7.39,9.72,121.46,48.93,8.76,6.23,1.41,115.23,218.21,0.16,262.19,41.81,31.27
172,Iron bcc (old),2909,181.81,74.27,15.21,28.41,68.85,60.3,22.43,10.32,2.17,115.03,207.61,0.18,102.02,32.92,45
173,Iron bcc (old),2541,158.81,53.93,14.22,20.59,61.73,54.16,18.9,10.7,1.77,115.95,227.4,0.16,175.94,45.29,54.5
175,Iron bcc (old),2276,142.25,81.29,13.46,24.1,15.48,52.07,17.68,10.25,1.73,108.07,189.95,0.22,99.7,43.01,78.22
176,Iron bcc (old),85,5.31,9.51,2.6,4.59,32.64,47.36,4.04,1.68,2.41,114.94,204.65,0.24,46.77,35.21,28.05
177,Iron bcc (old),90,5.62,12.55,2.68,4.43,43.01,46.76,3.34,2.14,1.56,100.28,194.4,0.2,126.14,14.55,45.37
178,Iron bcc (old),17,1.06,3.71,1.16,1.6,120.07,45.93,1.38,0.98,1.42,111.35,221.24,0.17,119.73,32.71,2.95
182,Iron bcc (old),6265,391.56,118.98,22.33,40.87,113.74,65.57,34.91,14.28,2.44,117.55,211.07,0.21,312.42,34.48,49.93
183,Iron bcc (old),198,12.38,14.92,3.97,6.32,2.15,48.76,5.61,2.81,1.99,119.17,192.46,0.22,336.39,31.76,86.55
184,Iron bcc (old),238,14.88,18.97,4.35,6.05,13.57,50.23,5.34,3.54,1.51,115.84,198.54,0.18,335.28,33.26,83.95
186,Iron bcc (old),114,7.13,10.66,3.01,3.82,78.96,49.52,3.52,2.58,1.36,122.07,202.92,0.19,289.79,42.37,65.54
187,Iron bcc (old),477,29.81,24.1,6.16,10.08,4.52,50.99,10.02,3.79,2.65,125.86,234.88,0.16,317.33,24.85,74.32
189,Iron bcc (old),5866,366.62,161.93,21.61,43.07,91.63,68.54,32.89,14.19,2.32,124.1,207.11,0.19,287.89,39.42,64
190,Iron bcc (old),21,1.31,4.72,1.29,2.06,107.46,49.08,1.89,0.89,2.13,95.9,163.71,0.29,317.96,37.48,47.41
192,Iron bcc (old),50,3.12,10.54,1.99,4.78,85.94,48.92,4.69,0.85,5.53,103.7,186.34,0.23,44.79,45.93,42.91
194,Iron bcc (old),19,1.19,4.24,1.23,1.8,47.18,49.38,1.67,0.91,1.83,98.68,142.37,0.3,81.9,35.99,2.67
195,Iron bcc (old),98,6.12,9.71,2.79,3.25,19.07,50.47,2.94,2.65,1.11,111.3,195.74,0.24,316.43,35.94,70.59
197,Iron bcc (old),2516,157.25,116.57,14.15,22.5,104.96,58.13,17.41,11.5,1.51,113.91,226.22,0.18,118.31,33.77,2.05
198,Iron bcc (old),591,36.94,26.65,6.86,10.85,47.62,53.87,10.75,4.37,2.46,114.19,218.93,0.15,264.2,14.82,36.85
204,Iron bcc (old),39,2.44,7.36,1.76,3.88,88.78,50.93,3.95,0.79,5.02,103,180.15,0.26,44.48,45.69,43.33
207,Iron bcc (old),4453,278.31,89.75,18.82,27.34,84.19,64.98,25.42,13.94,1.82,112.04,218.18,0.2,45.78,43.08,42.29
211,Iron bcc (old),37,2.31,6.33,1.72,2.83,78.95,51.67,2.41,1.22,1.97,108.05,193,0.22,47.04,43.99,41.65
